clip_id,ground_truth,output,latency,num_downsampled_frames,num_frames
v_ApplyEyeMakeup_g01_c01,ApplyEyeMakeup,ApplyEyeMakeup,1.7103142738342285,6,164
v_ApplyEyeMakeup_g01_c02,ApplyEyeMakeup,ApplyEyeMakeup,1.4152648448944092,5,123
v_ApplyEyeMakeup_g01_c03,ApplyEyeMakeup,ApplyEyeMakeup,2.018841028213501,9,259
v_ApplyEyeMakeup_g01_c04,ApplyEyeMakeup,ApplyEyeMakeup,1.6530377864837646,8,235
v_ApplyEyeMakeup_g01_c05,ApplyEyeMakeup,ApplyEyeMakeup,2.003899097442627,10,296
v_ApplyEyeMakeup_g01_c06,ApplyEyeMakeup,ApplyEyeMakeup,1.4125518798828125,5,122
v_ApplyEyeMakeup_g02_c01,ApplyEyeMakeup,ApplyEyeMakeup,1.420112133026123,6,170
v_ApplyEyeMakeup_g02_c02,ApplyEyeMakeup,ApplyEyeMakeup,1.4007041454315186,5,146
v_ApplyEyeMakeup_g02_c03,ApplyEyeMakeup,ApplyEyeMakeup,1.640885829925537,8,216
v_ApplyEyeMakeup_g02_c04,ApplyEyeMakeup,ApplyEyeMakeup,15.759263038635254,6,170
v_ApplyEyeMakeup_g03_c01,ApplyEyeMakeup,ApplyEyeMakeup,38.02951192855835,7,209
v_ApplyEyeMakeup_g03_c02,ApplyEyeMakeup,ApplyEyeMakeup,30.381125926971436,5,134
v_ApplyEyeMakeup_g03_c03,ApplyEyeMakeup,ApplyEyeMakeup,10.75584101676941,4,115
v_ApplyEyeMakeup_g03_c04,ApplyEyeMakeup,ApplyEyeMakeup,1.1202702522277832,4,108
v_ApplyEyeMakeup_g03_c05,ApplyEyeMakeup,ApplyEyeMakeup,1.412703037261963,5,146
v_ApplyEyeMakeup_g03_c06,ApplyEyeMakeup,ApplyEyeMakeup,1.3958520889282227,6,152
v_ApplyEyeMakeup_g04_c01,ApplyEyeMakeup,ApplyEyeMakeup,1.4067201614379883,5,126
v_ApplyEyeMakeup_g04_c02,ApplyEyeMakeup,ApplyEyeMakeup,1.419713020324707,5,132
v_ApplyEyeMakeup_g04_c03,ApplyEyeMakeup,ApplyEyeMakeup,1.123365879058838,4,114
v_ApplyEyeMakeup_g04_c04,ApplyEyeMakeup,ApplyEyeMakeup,1.6802082061767578,7,181
v_ApplyEyeMakeup_g04_c05,ApplyEyeMakeup,ApplyEyeMakeup,1.1261003017425537,4,106
v_ApplyEyeMakeup_g04_c06,ApplyEyeMakeup,ApplyEyeMakeup,1.993340015411377,9,248
v_ApplyEyeMakeup_g04_c07,ApplyEyeMakeup,ApplyEyeMakeup,1.42317795753479,6,158
v_ApplyEyeMakeup_g05_c01,ApplyEyeMakeup,ApplyEyeMakeup,1.9927988052368164,9,268
v_ApplyEyeMakeup_g05_c02,ApplyEyeMakeup,ApplyEyeMakeup,1.9807143211364746,9,264
v_ApplyEyeMakeup_g05_c03,ApplyEyeMakeup,ApplyEyeMakeup,1.4214718341827393,6,158
v_ApplyEyeMakeup_g05_c04,ApplyEyeMakeup,ApplyEyeMakeup,1.6604790687561035,7,186
